time,symbol,side,entry_price,mark_price,position_amt,unrealized_pnl,roe_pct
2026-03-25 11:34:50,HUMAUSDT,空,0.019900,0.020077,1507.0000,-0.2667,-2.67
2026-03-25 11:34:50,TAOUSDT,空,337.300000,334.612269,0.0880,0.2365,2.39
2026-03-25 11:34:50,KATUSDT,多,0.010890,0.010902,2754.0000,0.0340,0.34
2026-03-25 11:34:50,MAGMAUSDT,空,0.137600,0.128283,218.0000,2.0311,20.31
2026-03-25 11:34:50,BEATUSDT,多,0.621200,0.622700,48.0000,0.0720,0.72
2026-03-25 11:34:50,JCTUSDT,多,0.002845,0.002911,10534.0000,0.6936,6.94
2026-03-25 11:34:50,BANANAS31USDT,多,0.014006,0.014161,2141.0000,0.3309,3.31
2026-03-25 11:34:50,ARIAUSDT,空,0.313160,0.302877,95.0000,0.9769,9.85
2026-03-25 11:34:50,FLOWUSDT,多,0.031780,0.031730,944.0000,-0.0472,-0.47
2026-03-25 11:34:50,GASUSDT,空,1.698000,1.643000,17.6000,0.9680,9.72
2026-03-25 11:34:50,BRUSDT,空,0.172580,0.162226,173.0000,1.7912,18.00
2026-03-25 11:34:50,VVVUSDT,空,6.484000,6.416000,4.6200,0.3142,3.15
2026-03-25 11:34:50,SIRENUSDT,多,1.157160,1.743880,25.0000,14.6680,152.11
2026-03-25 11:34:50,CYSUSDT,多,0.580900,0.589500,51.0000,0.4386,4.44
2026-03-25 11:34:50,JTOUSDT,多,0.319300,0.347700,93.0000,2.6412,26.68
2026-03-25 11:34:50,TRIAUSDT,多,0.035690,0.035177,840.0000,-0.4310,-4.31
2026-03-25 11:34:50,BASUSDT,空,0.011787,0.011785,2545.0000,0.0051,0.05
2026-03-25 11:34:50,ONTUSDT,空,0.069400,0.065000,432.2000,1.9017,19.02
2026-03-25 11:34:50,OPNUSDT,多,0.217200,0.213835,138.0000,-0.4644,-4.65
2026-03-25 11:34:50,DUSKUSDT,空,0.125320,0.123860,239.0000,0.3489,3.50
2026-03-25 11:44:58,HUMAUSDT,空,0.019900,0.020094,1507.0000,-0.2924,-2.92
2026-03-25 11:44:58,TAOUSDT,空,337.300000,337.709443,0.0880,-0.0360,-0.36
2026-03-25 11:44:58,KATUSDT,多,0.010890,0.010860,2754.0000,-0.0826,-0.83
2026-03-25 11:44:58,MAGMAUSDT,空,0.137600,0.129060,218.0000,1.8617,18.62
2026-03-25 11:44:58,BEATUSDT,多,0.621200,0.626273,48.0000,0.2435,2.45
2026-03-25 11:44:58,JCTUSDT,多,0.002845,0.002909,10534.0000,0.6742,6.75
2026-03-25 11:44:58,BANANAS31USDT,多,0.014006,0.014303,2141.0000,0.6359,6.36
2026-03-25 11:44:58,ARIAUSDT,空,0.313160,0.303601,95.0000,0.9081,9.16
2026-03-25 11:44:58,FLOWUSDT,多,0.031780,0.031690,944.0000,-0.0850,-0.85
2026-03-25 11:44:58,GASUSDT,空,1.698000,1.647313,17.6000,0.8921,8.96
2026-03-25 11:44:58,BRUSDT,空,0.172580,0.160240,173.0000,2.1348,21.45
2026-03-25 11:44:58,VVVUSDT,空,6.484000,6.423000,4.6200,0.2818,2.82
2026-03-25 11:44:58,SIRENUSDT,多,1.157160,1.727449,25.0000,14.2572,147.85
2026-03-25 11:44:58,CYSUSDT,多,0.580900,0.588100,51.0000,0.3672,3.72
2026-03-25 11:44:58,JTOUSDT,多,0.319300,0.348639,93.0000,2.7285,27.57
2026-03-25 11:44:58,TRIAUSDT,多,0.035690,0.035290,840.0000,-0.3361,-3.36
2026-03-25 11:44:58,BASUSDT,空,0.011787,0.011384,2545.0000,1.0267,10.27
2026-03-25 11:44:58,ONTUSDT,空,0.069400,0.065720,432.2000,1.5906,15.91
2026-03-25 11:44:58,OPNUSDT,多,0.217200,0.214200,138.0000,-0.4140,-4.14
2026-03-25 11:44:58,DUSKUSDT,空,0.125320,0.122790,239.0000,0.6047,6.06
2026-03-25 12:00:02,HUMAUSDT,空,0.019900,0.019994,1507.0000,-0.1417,-1.42
2026-03-25 12:00:02,TAOUSDT,空,337.300000,335.388987,0.0880,0.1682,1.70
2026-03-25 12:00:02,KATUSDT,多,0.010890,0.010930,2754.0000,0.1102,1.10
2026-03-25 12:00:02,MAGMAUSDT,空,0.137600,0.129476,218.0000,1.7710,17.71
2026-03-25 12:00:02,BEATUSDT,多,0.621200,0.633961,48.0000,0.6125,6.16
2026-03-25 12:00:02,JCTUSDT,多,0.002845,0.002943,10534.0000,1.0323,10.33
2026-03-25 12:00:02,BANANAS31USDT,多,0.014006,0.014210,2141.0000,0.4365,4.37
2026-03-25 12:00:02,ARIAUSDT,空,0.313160,0.303146,95.0000,0.9513,9.59
2026-03-25 12:00:02,FLOWUSDT,多,0.031780,0.031697,944.0000,-0.0786,-0.79
2026-03-25 12:00:02,GASUSDT,空,1.698000,1.623538,17.6000,1.3105,13.16
2026-03-25 12:00:02,BRUSDT,空,0.172580,0.162141,173.0000,1.8059,18.15
2026-03-25 12:00:02,VVVUSDT,空,6.484000,6.481608,4.6200,0.0111,0.11
2026-03-25 12:00:02,SIRENUSDT,多,1.157160,1.808062,25.0000,16.2726,168.75
2026-03-25 12:00:02,CYSUSDT,多,0.580900,0.583424,51.0000,0.1287,1.30
2026-03-25 12:00:02,JTOUSDT,多,0.319300,0.366593,93.0000,4.3982,44.43
2026-03-25 12:00:02,TRIAUSDT,多,0.035690,0.034920,840.0000,-0.6468,-6.47
2026-03-25 12:00:02,BASUSDT,空,0.011787,0.011315,2545.0000,1.2012,12.01
2026-03-25 12:00:02,ONTUSDT,空,0.069400,0.063300,432.2000,2.6364,26.37
2026-03-25 12:00:02,OPNUSDT,多,0.217200,0.213800,138.0000,-0.4692,-4.70
2026-03-25 12:00:02,DUSKUSDT,空,0.125320,0.124612,239.0000,0.1693,1.70
2026-03-25 13:00:18,HUMAUSDT,空,0.019900,0.019672,1507.0000,0.3433,3.43
2026-03-25 13:00:18,TAOUSDT,空,337.300000,334.550000,0.0880,0.2420,2.45
2026-03-25 13:00:18,KATUSDT,多,0.010890,0.010992,2754.0000,0.2808,2.81
2026-03-25 13:00:18,MAGMAUSDT,空,0.137600,0.126314,218.0000,2.4603,24.61
2026-03-25 13:00:18,BEATUSDT,多,0.621200,0.618274,48.0000,-0.1404,-1.41
2026-03-25 13:00:18,JCTUSDT,多,0.002845,0.002870,10534.0000,0.2622,2.62
2026-03-25 13:00:18,BANANAS31USDT,多,0.014006,0.014239,2141.0000,0.4982,4.98
